member_code,member_type_detail
GEDC-022101002270101,队长
GEDC-022101002270102,队员
GEDC-022101002280101,队长
GEDC-022101002280102,队员
GEDC-022101002280103,队员
GEDC-022101002290101,队长
GEDC-022101002290102,队员
GEDC-022101002290103,队员
GEDC-022101002300101,队长
GEDC-022101002300102,队员
GEDC-022101002310101,队长
GEDC-022101002310102,队员
GEDC-022101002320101,队长
GEDC-022101002320102,队员
GEDC-022101002320103,队员
GEDC-022101002330101,队长
GEDC-022101002330102,队员
GEDC-022101002330103,队员
GEDC-022101002340101,队长
GEDC-022101002340102,队员
GEDC-022101002350101,队长
GEDC-022101002350102,队员
GEDC-022101002350103,队员
GEDC-022101002360101,队长
GEDC-022101002360102,队员
GEDC-022101002360103,队员
GEDC-022101002370101,队长
GEDC-022101002370102,队员
GEDC-022101002370103,队员
GEDC-022101002380101,队长
GEDC-022101002380102,队员
GEDC-022101002390101,队长
GEDC-022101002390102,队员
GEDC-022101002390103,队员
GEDC-022101002400101,队长
GEDC-022101002400102,队员
GEDC-022101002400103,队员
GEDC-022101002410101,队长
GEDC-022101002410102,队员
GEDC-022101002410103,队员
GEDC-022101002420101,队长
GEDC-022101002420102,队员
GEDC-022101002420103,队员
GEDC-022101002430101,队长
GEDC-022101002430102,队员
GEDC-022101002430103,队员
GEDC-022101002440101,队长
GEDC-022101002440102,队员
GEDC-022101002440103,队员
GEDC-022101002450101,队长
GEDC-022101002450102,队员
GEDC-022101002450103,队员
GEDC-022101002460101,队长
GEDC-022101002460102,队员
GEDC-022101002470101,队长
GEDC-022101002470102,队员
GEDC-022101002470103,队员
GEDC-022101002480101,队长
GEDC-022101002480102,队员
GEDC-022101002480103,队员
GEDC-022101002490101,队长
GEDC-022101002490102,队员
GEDC-022101002490103,队员
GEDC-022101002500101,队长
GEDC-022101002500102,队员
GEDC-022101002500103,队员
GEDC-022101002510101,队长
GEDC-022101002510102,队员
GEDC-022101002520101,队长
GEDC-022101002520102,队员
GEDC-022101002520103,队员
GEDC-022101002530101,队长
GEDC-022101002530102,队员
GEDC-022101002530103,队员
GEDC-022101002540101,队长
GEDC-022101002540102,队员
GEDC-022101002540103,队员
GEDC-022101002550101,队长
GEDC-022101002550102,队员
GEDC-022101002550103,队员
GEDC-022101002560101,队长
GEDC-022101002560102,队员
GEDC-022101002560103,队员
GEDC-022101002570101,队长
GEDC-022101002570102,队员
GEDC-022101002580101,队长
GEDC-022101002580102,队员
GEDC-022101002580103,队员
GEDC-022101002590101,队长
GEDC-022101002590102,队员
GEDC-022101002590103,队员
GEDC-022101002600101,队长
GEDC-022101002600102,队员
GEDC-022101002600103,队员
GEDC-022101002610101,队长
GEDC-022101002610102,队员
GEDC-022101002610103,队员
GEDC-022101002620101,队长
GEDC-022101002620102,队员
GEDC-022101002620103,队员
GEDC-022101002630101,队长
GEDC-022101002630102,队员
GEDC-022101002630103,队员
GEDC-022101002640101,队长
GEDC-022101002640102,队员
GEDC-022101002650101,队长
GEDC-022101002650102,队员
GEDC-022101002650103,队员
GEDC-022101002660101,队长
GEDC-022101002660102,队员
GEDC-022101002660103,队员
GEDC-022101002670101,队长
GEDC-022101002670102,队员
GEDC-022101002670103,队员
GEDC-022101002680101,队长
GEDC-022101002680102,队员
GEDC-022101002690101,队长
GEDC-022101002690102,队员
GEDC-022101002690103,队员
GEDC-022101002700101,队长
GEDC-022101002700102,队员
GEDC-022101002700103,队员
GEDC-022101002710101,队长
GEDC-022101002710102,队员
GEDC-022101002710103,队员
GEDC-022101002720101,队长
GEDC-022101002720102,队员
GEDC-022101002720103,队员
GEDC-022101002730101,队长
GEDC-022101002730102,队员
GEDC-022101002730103,队员
GEDC-022101002740101,队长
GEDC-022101002740102,队员
GEDC-022101002740103,队员
GEDC-022101002750101,队长
GEDC-022101002750102,队员
GEDC-022101002750103,队员
GEDC-022101002760101,队长
GEDC-022101002760102,队员
GEDC-022101002760103,队员
GEDC-022101002770101,队长
GEDC-022101002770102,队员
GEDC-022101002770103,队员
GEDC-022101002780101,队长
GEDC-022101002780102,队员
GEDC-022101002780103,队员
GEDC-022101002790101,队长
GEDC-022101002790102,队员
GEDC-022101002790103,队员
GEDC-022101002800101,队长
GEDC-022101002800102,队员
GEDC-022101002800103,队员
GEDC-022101002810101,队长
GEDC-022101002810102,队员
GEDC-022101002810103,队员
GEDC-022101002820101,队长
GEDC-022101002820102,队员
GEDC-022101002820103,队员
GEDC-022101002830101,队长
GEDC-022101002830102,队员
GEDC-022101002830103,队员
GEDC-022101002840101,队长
GEDC-022101002840102,队员
GEDC-022101002840103,队员
GEDC-022101002850101,队长
GEDC-022101002850102,队员
GEDC-022101002850103,队员
GEDC-022101002860101,队长
GEDC-022101002860102,队员
GEDC-022101002860103,队员
GEDC-022101002870101,队长
GEDC-022101002870102,队员
GEDC-022101002870103,队员
GEDC-022101002880101,队长
GEDC-022101002880102,队员
GEDC-022101002880103,队员
GEDC-022101002890101,队长
GEDC-022101002890102,队员
GEDC-022101002890103,队员
GEDC-022101002900101,队长
GEDC-022101002900102,队员
GEDC-022101002900103,队员
GEDC-022101002910101,队长
GEDC-022101002910102,队员
GEDC-022101002910103,队员
GEDC-022101002920101,队长
GEDC-022101002920102,队员
GEDC-022101002930101,队长
GEDC-022101002930102,队员
GEDC-022101002930103,队员
GEDC-022101002940101,队长
GEDC-022101002940102,队员
GEDC-022101002940103,队员
GEDC-022101002950101,队长
GEDC-022101002950102,队员
GEDC-022101002950103,队员
GEDC-022101002960101,队长
GEDC-022101002960102,队员
GEDC-022101002960103,队员
GEDC-022101002970101,队长
GEDC-022101002970102,队员
GEDC-022101002970103,队员
GEDC-022101002980101,队长
GEDC-022101002980102,队员
GEDC-022101002980103,队员
GEDC-022101002990101,队长
GEDC-022101002990102,队员
GEDC-022101003000101,队长
GEDC-022101003000102,队员
GEDC-022101003000103,队员
GEDC-022101003010101,队长
GEDC-022101003010102,队员
GEDC-022101003010103,队员
GEDC-022101003020101,队长
GEDC-022101003020102,队员
GEDC-022101003020103,队员
GEDC-022101003030101,队长
GEDC-022101003030102,队员
GEDC-022101003030103,队员
GEDC-022101003040101,队长
GEDC-022101003040102,队员
GEDC-022101003040103,队员
GEDC-022101003050101,队长
GEDC-022101003050102,队员
GEDC-022101003060101,队长
GEDC-022101003060102,队员
GEDC-022101003060103,队员
GEDC-022101003070101,队长
GEDC-022101003070102,队员
GEDC-022101003070103,队员
GEDC-022101003080101,队长
GEDC-022101003080102,队员
GEDC-022101003090101,队长
GEDC-022101003090102,队员
GEDC-022101003090103,队员
GEDC-022101003100101,队长
GEDC-022101003100102,队员
GEDC-022101003100103,队员
GEDC-022101003110101,队长
GEDC-022101003110102,队员
GEDC-022101003110103,队员
GEDC-022101003120101,队长
GEDC-022101003120102,队员
GEDC-022101003120103,队员
GEDC-022101003130101,队长
GEDC-022101003130102,队员
GEDC-022101003130103,队员
GEDC-022101003140101,队长
GEDC-022101003140102,队员
GEDC-022101003140103,队员
GEDC-022101003150101,队长
GEDC-022101003150102,队员
GEDC-022101003150103,队员
GEDC-022101003160101,队长
GEDC-022101003160102,队员
GEDC-022101003160103,队员
GEDC-022101003170101,队长
GEDC-022101003170102,队员
GEDC-022101003170103,队员
GEDC-022101003180101,队长
GEDC-022101003180102,队员
GEDC-022101003180103,队员
GEDC-022101003190101,队长
GEDC-022101003190102,队员
GEDC-022101003190103,队员
GEDC-022101003200101,队长
GEDC-022101003200102,队员
GEDC-022101003200103,队员
GEDC-022101003210101,队长
GEDC-022101003210102,队员
GEDC-022101003210103,队员
GEDC-022101003220101,队长
GEDC-022101003220102,队员
GEDC-022101003230101,队长
GEDC-022101003230102,队员
GEDC-022101003230103,队员
GEDC-022101003240101,队长
GEDC-022101003240102,队员
GEDC-022101003240103,队员
GEDC-022101003250101,队长
GEDC-022101003250102,队员
GEDC-022101003260101,队长
GEDC-022101003260102,队员
GEDC-022101003270101,队长
GEDC-022101003270102,队员
GEDC-022101003270103,队员
GEDC-022101003280101,队长
GEDC-022101003280102,队员
GEDC-022101003280103,队员
GEDC-022101003290101,队长
GEDC-022101003290102,队员
GEDC-022101003290103,队员
GEDC-022101003300101,队长
GEDC-022101003300102,队员
GEDC-022101003300103,队员
GEDC-022101003310101,队长
GEDC-022101003310102,队员
GEDC-022101003310103,队员
GEDC-022101003320101,队长
GEDC-022101003320102,队员
GEDC-022101003330101,队长
GEDC-022101003330102,队员
GEDC-022101003330103,队员
GEDC-022101003340101,队长
GEDC-022101003340102,队员
GEDC-022101003340103,队员
GEDC-022101003350101,队长
GEDC-022101003350102,队员
GEDC-022101003350103,队员
GEDC-022101003360101,队长
GEDC-022101003360102,队员
GEDC-022101003360103,队员
GEDC-022101003370101,队长
GEDC-022101003370102,队员
GEDC-022101003370103,队员
GEDC-022101003380101,队长
GEDC-022101003380102,队员
GEDC-022101003380103,队员
GEDC-022101003390101,队长
GEDC-022101003390102,队员
GEDC-022101003390103,队员
GEDC-022101003400101,队长
GEDC-022101003400102,队员
GEDC-022101003400103,队员
GEDC-022101003410101,队长
GEDC-022101003410102,队员
GEDC-022101003410103,队员
GEDC-022101003420101,队长
GEDC-022101003420102,队员
GEDC-022101003420103,队员
GEDC-022101003430101,队长
GEDC-022101003430102,队员
GEDC-022101003430103,队员
GEDC-022101003440101,队长
GEDC-022101003440102,队员
GEDC-022101003440103,队员
GEDC-022101003450101,队长
GEDC-022101003450102,队员
GEDC-022101003460101,队长
GEDC-022101003460102,队员
GEDC-022101003470101,队长
GEDC-022101003470102,队员
GEDC-022101003470103,队员
GEDC-022101003480101,队长
GEDC-022101003480102,队员
GEDC-022101003480103,队员
GEDC-022101003490101,队长
GEDC-022101003490102,队员
GEDC-022101003490103,队员
GEDC-022101003500101,队长
GEDC-022101003500102,队员
GEDC-022101003500103,队员
GEDC-022101003510101,队长
GEDC-022101003510102,队员
GEDC-022101003520101,队长
GEDC-022101003520102,队员
GEDC-022101003520103,队员
GEDC-022101003530101,队长
GEDC-022101003530102,队员
GEDC-022101003530103,队员
GEDC-022101003540101,队长
GEDC-022101003540102,队员
GEDC-022101003550101,队长
GEDC-022101003550102,队员
